user_id,movie_id,rating,timestamp
75,1505,5,892036983
261,34,2,891704829
140,1549,1,886433798
130,824,3,891233472
710,886,5,891571603
910,1319,5,890570919
344,1045,3,884550216
59,1027,2,888499499
910,467,1,883745393
790,1647,2,881423511
472,383,5,892435902
910,1068,5,892767477
680,193,3,886448703
64,680,3,889402037
656,1024,1,883097291
761,1259,2,886496178
772,348,4,889498679
598,380,5,886956451
836,612,2,881629248
305,522,3,884030526
854,752,5,892110345
852,666,4,889132147
8,1256,2,891874359
457,1290,2,882164836
369,426,1,891625702
943,48,1,892567249
532,1319,5,888557430
246,771,3,888192615
340,1673,3,887788283
12,117,5,888260972
130,1359,2,885478696
109,1127,3,883054969
135,782,3,880929647
254,931,5,875482511
830,1400,4,877105461
18,1235,2,888312063
18,1465,5,877555110
818,290,1,892757978
850,1547,4,883319375
88,884,2,883131662
612,965,5,886227112
38,382,3,879917744
685,535,4,879255832
222,1411,5,883528275
943,22,1,888302342
402,1375,3,887676948
17,275,4,889148907
662,1104,3,891581019
780,656,2,885182946
752,1426,2,883514690
143,32,4,885413648
128,1145,5,889810212
339,1558,5,882436675
86,1178,2,886250861
799,1243,4,883648258
895,476,3,886758178
265,917,3,891784427
847,342,5,892818591
181,1231,2,879039322
137,748,3,881953965
724,1092,1,881236848
343,499,3,881363898
19,1085,4,874996999
260,1507,4,885154539
724,563,2,888301131
916,923,4,889666521
754,1238,4,892557729
719,1035,1,891066670
771,1036,5,881345713
431,26,4,882156582
840,319,4,884537603
734,121,5,887468230
271,1353,5,880791934
934,445,1,890235329
486,625,5,876069889
484,790,5,880007730
812,554,1,887626830
222,649,5,882935881
725,1494,3,891140577
57,452,5,875936995
814,1015,2,882213319
89,1576,1,892530262
58,228,3,882033911
456,789,3,879159409
134,1541,1,880954352
235,74,5,879043434
299,1262,5,881036316
757,1140,4,881855000
86,1491,1,880387221
259,248,1,882609015
288,565,5,878233715
164,593,4,885226468
328,1586,2,890453751
576,76,5,892903540
37,957,4,883437801
337,1423,4,881664498
58,130,5,878317281
396,1423,5,875351539
566,632,4,890387236
606,1008,3,888510311
304,1121,3,892433705
613,1294,5,880369821
926,464,4,890167866
150,114,5,886500730
896,329,2,887049826
92,1557,3,882724958
764,1405,4,877510356
894,226,3,883437232
40,909,3,879023329
896,1129,1,889712421
623,699,1,893021259
271,826,5,892066797
848,1420,5,880662913
2,584,1,880718284
351,567,1,875307352
935,1402,1,883061566
62,1091,5,879848502
51,1527,3,887798503
770,131,5,878192628
193,1494,1,880147634
575,1544,4,883221936
